Sample	TiO2
Comments	TiO2
Filename	C:\Users\Rigaku\Desktop\TiO2.raw
Goniometer	MiniFlex2 goniometer
Attachment	Standard sample holder
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
DivSlit	1.25 deg.
SctSlit	1.25 deg.
RecSlit	0.3mm
Start	10
Stop	80
Step	0.1
10	171.333
10.1	202
10.2	175.333
10.3	168
10.4	183.333
10.5	173.333
10.6	190
10.7	202
10.8	184
10.9	187.333
11	196
11.1	172
11.2	202
11.3	192.667
11.4	192
11.5	188
11.6	190.667
11.7	217.333
11.8	194
11.9	204.667
12 	183.333
12.1	208.667
12.2	218
12.3	196.667
12.4	200.667
12.5	222.667
12.6	214
12.7	220
12.8	221.333
12.9	220
13	234.667
13.1	207.333
13.2	270.667
13.3	224
13.4	246
13.5	236
13.6	230
13.7	256
13.8	249.333
13.9	262.667
14	242
14.1	276.667
14.2	272.667
14.3	240
14.4	267.333
14.5	238
14.6	258
14.7	260.667
14.8	240.667
14.9	272
15	258.667
15.1	270.667
15.2	252
15.3	259.333
15.4	257.333
15.5	278.667
15.6	281.333
15.7	267.333
15.8	274
15.9	278
16	240
16.1	252
16.2	258
16.3	286.667
16.4	294.667
16.5	286.667
16.6	288
16.7	281.333
16.8	288
16.9	276
17	266.667
17.1	263.333
17.2	258
17.3	280.667
17.4	270
17.5	300.667
17.6	262.667
17.7	243.333
17.8	257.333
17.9	278
18	270
18.1	282
18.2	266.667
18.3	257.333
18.4	285.333
18.5	256.667
18.6	254
18.7	258.667
18.8	270.667
18.9	286
19	253.333
19.1	287.333
19.2	280.667
19.3	266.667
19.4	256
19.5	272.667
19.6	287.333
19.7	267.333
19.8	244
19.9	282.667
20	279.333
20.1	266
20.2	259.333
20.3	264.667
20.4	234.667
20.5	248.667
20.6	248.667
20.7	245.333
20.8	237.333
20.9	246.667
21	252
21.1	249.333
21.2	221.333
21.3	260
21.4	218.667
21.5	229.333
21.6	236.667
21.7	225.333
21.8	247.333
21.9	227.333
22	228
22.1	210
22.2	232
22.3	222.667
22.4	228
22.5	232
22.6	224
22.7	238
22.8	216
22.9	235.333
23	248
23.1	236
23.2	204
23.3	227.333
23.4	216.667
23.5	222
23.6	202.667
23.7	220
23.8	218
23.9	214
24	214.667
24.1	222
24.2	223.333
24.3	222.667
24.4	222
24.5	228
24.6	231.333
24.7	276
