"4mn+6cr G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,2.9055
201.00,2.6299
202.00,2.3747
203.00,2.1641
204.00,1.9811
205.00,1.8222
206.00,1.6888
207.00,1.5738
208.00,1.4735
209.00,1.3857
210.00,1.3135
211.00,1.2507
212.00,1.1902
213.00,1.1398
214.00,1.0950
215.00,1.0538
216.00,1.0169
217.00,0.9846
218.00,0.9563
219.00,0.9312
220.00,0.9084
221.00,0.8885
222.00,0.8702
223.00,0.8535
224.00,0.8386
225.00,0.8246
226.00,0.8114
227.00,0.7988
228.00,0.7868
229.00,0.7755
230.00,0.7646
231.00,0.7543
232.00,0.7439
233.00,0.7334
234.00,0.7231
235.00,0.7128
236.00,0.7024
237.00,0.6919
238.00,0.6819
239.00,0.6721
240.00,0.6623
241.00,0.6525
242.00,0.6428
243.00,0.6331
244.00,0.6236
245.00,0.6143
246.00,0.6053
247.00,0.5961
248.00,0.5875
249.00,0.5791
250.00,0.5710
251.00,0.5632
252.00,0.5556
253.00,0.5483
254.00,0.5410
255.00,0.5331
256.00,0.5255
257.00,0.5177
258.00,0.5099
259.00,0.5023
260.00,0.4948
261.00,0.4870
262.00,0.4793
263.00,0.4718
264.00,0.4641
265.00,0.4570
266.00,0.4500
267.00,0.4433
268.00,0.4372
269.00,0.4315
270.00,0.4266
271.00,0.4220
272.00,0.4184
273.00,0.4156
274.00,0.4135
275.00,0.4118
276.00,0.4110
277.00,0.4114
278.00,0.4125
279.00,0.4144
280.00,0.4165
281.00,0.4193
282.00,0.4229
283.00,0.4276
284.00,0.4329
285.00,0.4383
286.00,0.4434
287.00,0.4487
288.00,0.4551
289.00,0.4621
290.00,0.4697
291.00,0.4764
292.00,0.4816
293.00,0.4864
294.00,0.4923
295.00,0.4990
296.00,0.5059
297.00,0.5117
298.00,0.5144
299.00,0.5159
300.00,0.5178
301.00,0.5216
302.00,0.5268
303.00,0.5317
304.00,0.5330
305.00,0.5312
306.00,0.5275
307.00,0.5253
308.00,0.5265
309.00,0.5301
310.00,0.5325
311.00,0.5308
312.00,0.5257
313.00,0.5192
314.00,0.5137
315.00,0.5125
316.00,0.5153
317.00,0.5187
318.00,0.5203
319.00,0.5176
320.00,0.5127
321.00,0.5076
322.00,0.5051
323.00,0.5062
324.00,0.5099
325.00,0.5138
326.00,0.5161
327.00,0.5158
328.00,0.5145
329.00,0.5124
330.00,0.5128
331.00,0.5154
332.00,0.5183
333.00,0.5226
334.00,0.5256
335.00,0.5281
336.00,0.5283
337.00,0.5297
338.00,0.5302
339.00,0.5314
340.00,0.5331
341.00,0.5346
342.00,0.5359
343.00,0.5370
344.00,0.5374
345.00,0.5369
346.00,0.5362
347.00,0.5340
348.00,0.5320
349.00,0.5294
350.00,0.5271
351.00,0.5248
352.00,0.5211
353.00,0.5159
354.00,0.5102
355.00,0.5043
356.00,0.4965
357.00,0.4893
358.00,0.4820
359.00,0.4756
360.00,0.4643
361.00,0.4569
362.00,0.4490
363.00,0.4402
364.00,0.4304
365.00,0.4200
366.00,0.4093
367.00,0.3991
368.00,0.3882
369.00,0.3789
370.00,0.3706
371.00,0.3623
372.00,0.3535
373.00,0.3442
374.00,0.3357
375.00,0.3260
376.00,0.3139
377.00,0.3025
378.00,0.2920
379.00,0.2824
380.00,0.2733
381.00,0.2649
382.00,0.2564
383.00,0.2491
384.00,0.2408
385.00,0.2326
386.00,0.2238
387.00,0.2147
388.00,0.2058
389.00,0.1966
390.00,0.1889
391.00,0.1821
392.00,0.1751
393.00,0.1689
394.00,0.1639
395.00,0.1583
396.00,0.1533
397.00,0.1477
398.00,0.1428
399.00,0.1381
400.00,0.1331
401.00,0.1293
402.00,0.1249
403.00,0.1214
404.00,0.1180
405.00,0.1150
406.00,0.1124
407.00,0.1100
408.00,0.1081
409.00,0.1064
410.00,0.1048
411.00,0.1036
412.00,0.1021
413.00,0.1012
414.00,0.1004
415.00,0.0995
416.00,0.0989
417.00,0.0985
418.00,0.0980
419.00,0.0978
420.00,0.0975
421.00,0.0971
422.00,0.0972
423.00,0.0971
424.00,0.0973
425.00,0.0975
426.00,0.0977
427.00,0.0979
428.00,0.0980
429.00,0.0981
430.00,0.0984
431.00,0.0986
432.00,0.0990
433.00,0.0994
434.00,0.1000
435.00,0.1007
436.00,0.1013
437.00,0.1020
438.00,0.1028
439.00,0.1035
440.00,0.1041
441.00,0.1048
442.00,0.1056
443.00,0.1062
444.00,0.1069
445.00,0.1079
446.00,0.1090
447.00,0.1103
448.00,0.1118
449.00,0.1135
450.00,0.1152
451.00,0.1172
452.00,0.1190
453.00,0.1206
454.00,0.1222
455.00,0.1237
456.00,0.1252
457.00,0.1266
458.00,0.1277
459.00,0.1293
460.00,0.1312
461.00,0.1335
462.00,0.1363
463.00,0.1396
464.00,0.1437
465.00,0.1478
466.00,0.1523
467.00,0.1568
468.00,0.1611
469.00,0.1649
470.00,0.1683
471.00,0.1711
472.00,0.1734
473.00,0.1756
474.00,0.1775
475.00,0.1801
476.00,0.1832
477.00,0.1874
478.00,0.1924
479.00,0.1987
480.00,0.2058
481.00,0.2140
482.00,0.2227
483.00,0.2314
484.00,0.2399
485.00,0.2478
486.00,0.2545
487.00,0.2600
488.00,0.2640
489.00,0.2668
490.00,0.2686
491.00,0.2702
492.00,0.2719
493.00,0.2747
494.00,0.2787
495.00,0.2846
496.00,0.2925
497.00,0.3026
498.00,0.3140
499.00,0.3268
500.00,0.3396
501.00,0.3532
502.00,0.3662
503.00,0.3777
504.00,0.3874
505.00,0.3943
506.00,0.3985
507.00,0.3999
508.00,0.3988
509.00,0.3961
510.00,0.3929
511.00,0.3900
512.00,0.3886
513.00,0.3893
514.00,0.3926
515.00,0.3988
516.00,0.4081
517.00,0.4197
518.00,0.4333
519.00,0.4479
520.00,0.4633
521.00,0.4779
522.00,0.4913
523.00,0.5020
524.00,0.5093
525.00,0.5128
526.00,0.5118
527.00,0.5069
528.00,0.4985
529.00,0.4873
530.00,0.4745
531.00,0.4617
532.00,0.4501
533.00,0.4403
534.00,0.4332
535.00,0.4297
536.00,0.4295
537.00,0.4324
538.00,0.4380
539.00,0.4459
540.00,0.4550
541.00,0.4642
542.00,0.4736
543.00,0.4819
544.00,0.4881
545.00,0.4914
546.00,0.4910
547.00,0.4866
548.00,0.4779
549.00,0.4652
550.00,0.4489
551.00,0.4301
552.00,0.4101
553.00,0.3892
554.00,0.3691
555.00,0.3507
556.00,0.3351
557.00,0.3209
558.00,0.3098
559.00,0.3014
560.00,0.2953
561.00,0.2916
562.00,0.2895
563.00,0.2886
564.00,0.2886
565.00,0.2888
566.00,0.2888
567.00,0.2881
568.00,0.2865
569.00,0.2832
570.00,0.2781
571.00,0.2710
572.00,0.2622
573.00,0.2517
574.00,0.2395
575.00,0.2257
576.00,0.2114
577.00,0.1964
578.00,0.1818
579.00,0.1678
580.00,0.1548
581.00,0.1426
582.00,0.1317
583.00,0.1221
584.00,0.1138
585.00,0.1066
586.00,0.1004
587.00,0.0952
588.00,0.0908
589.00,0.0871
590.00,0.0842
591.00,0.0815
592.00,0.0793
593.00,0.0775
594.00,0.0759
595.00,0.0746
596.00,0.0734
597.00,0.0724
598.00,0.0715
599.00,0.0706
600.00,0.0701
601.00,0.0692
602.00,0.0685
603.00,0.0677
604.00,0.0670
605.00,0.0663
606.00,0.0656
607.00,0.0650
608.00,0.0643
609.00,0.0637
610.00,0.0631
611.00,0.0626
612.00,0.0621
613.00,0.0615
614.00,0.0612
615.00,0.0607
616.00,0.0601
617.00,0.0598
618.00,0.0595
619.00,0.0591
620.00,0.0589
621.00,0.0585
622.00,0.0580
623.00,0.0579
624.00,0.0575
625.00,0.0571
626.00,0.0569
627.00,0.0566
628.00,0.0562
629.00,0.0559
630.00,0.0556
631.00,0.0552
632.00,0.0549
633.00,0.0546
634.00,0.0543
635.00,0.0539
636.00,0.0536
637.00,0.0532
638.00,0.0528
639.00,0.0525
640.00,0.0522
641.00,0.0518
642.00,0.0514
643.00,0.0510
644.00,0.0506
645.00,0.0502
646.00,0.0498
647.00,0.0494
648.00,0.0490
649.00,0.0485
650.00,0.0480
651.00,0.0477
652.00,0.0472
653.00,0.0468
654.00,0.0465
655.00,0.0460
656.00,0.0455
657.00,0.0451
658.00,0.0446
659.00,0.0441
660.00,0.0437
661.00,0.0433
662.00,0.0429
663.00,0.0425
664.00,0.0421
665.00,0.0417
666.00,0.0412
667.00,0.0408
668.00,0.0404
669.00,0.0400
670.00,0.0396
671.00,0.0392
672.00,0.0387
673.00,0.0384
674.00,0.0380
675.00,0.0375
676.00,0.0373
677.00,0.0369
678.00,0.0364
679.00,0.0360
680.00,0.0356
681.00,0.0352
682.00,0.0349
683.00,0.0345
684.00,0.0341
685.00,0.0337
686.00,0.0333
687.00,0.0329
688.00,0.0325
689.00,0.0321
690.00,0.0318
691.00,0.0314
692.00,0.0310
693.00,0.0307
694.00,0.0304
695.00,0.0300
696.00,0.0297
697.00,0.0294
698.00,0.0291
699.00,0.0287
700.00,0.0284
