"6Mn+4cr G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,3.7974
201.00,3.2997
202.00,2.8853
203.00,2.6010
204.00,2.3678
205.00,2.1796
206.00,2.0180
207.00,1.8832
208.00,1.7701
209.00,1.6732
210.00,1.5928
211.00,1.5276
212.00,1.4615
213.00,1.4109
214.00,1.3641
215.00,1.3238
216.00,1.2871
217.00,1.2549
218.00,1.2274
219.00,1.2018
220.00,1.1794
221.00,1.1593
222.00,1.1413
223.00,1.1242
224.00,1.1082
225.00,1.0933
226.00,1.0790
227.00,1.0648
228.00,1.0512
229.00,1.0382
230.00,1.0253
231.00,1.0126
232.00,0.9997
233.00,0.9867
234.00,0.9734
235.00,0.9598
236.00,0.9460
237.00,0.9321
238.00,0.9190
239.00,0.9054
240.00,0.8920
241.00,0.8785
242.00,0.8653
243.00,0.8517
244.00,0.8386
245.00,0.8257
246.00,0.8132
247.00,0.8008
248.00,0.7889
249.00,0.7777
250.00,0.7669
251.00,0.7565
252.00,0.7467
253.00,0.7378
254.00,0.7289
255.00,0.7197
256.00,0.7108
257.00,0.7021
258.00,0.6939
259.00,0.6861
260.00,0.6783
261.00,0.6708
262.00,0.6637
263.00,0.6565
264.00,0.6501
265.00,0.6441
266.00,0.6382
267.00,0.6334
268.00,0.6291
269.00,0.6251
270.00,0.6226
271.00,0.6204
272.00,0.6194
273.00,0.6194
274.00,0.6200
275.00,0.6214
276.00,0.6238
277.00,0.6275
278.00,0.6324
279.00,0.6378
280.00,0.6433
281.00,0.6502
282.00,0.6580
283.00,0.6670
284.00,0.6768
285.00,0.6872
286.00,0.6971
287.00,0.7073
288.00,0.7186
289.00,0.7312
290.00,0.7448
291.00,0.7568
292.00,0.7668
293.00,0.7767
294.00,0.7881
295.00,0.8007
296.00,0.8135
297.00,0.8244
298.00,0.8319
299.00,0.8378
300.00,0.8442
301.00,0.8528
302.00,0.8631
303.00,0.8743
304.00,0.8791
305.00,0.8806
306.00,0.8786
307.00,0.8794
308.00,0.8841
309.00,0.8908
310.00,0.8966
311.00,0.8966
312.00,0.8920
313.00,0.8848
314.00,0.8799
315.00,0.8797
316.00,0.8839
317.00,0.8891
318.00,0.8913
319.00,0.8882
320.00,0.8810
321.00,0.8743
322.00,0.8711
323.00,0.8720
324.00,0.8747
325.00,0.8797
326.00,0.8815
327.00,0.8814
328.00,0.8772
329.00,0.8738
330.00,0.8721
331.00,0.8751
332.00,0.8785
333.00,0.8826
334.00,0.8849
335.00,0.8869
336.00,0.8869
337.00,0.8883
338.00,0.8881
339.00,0.8887
340.00,0.8913
341.00,0.8924
342.00,0.8950
343.00,0.8957
344.00,0.8969
345.00,0.8967
346.00,0.8980
347.00,0.8958
348.00,0.8942
349.00,0.8922
350.00,0.8903
351.00,0.8874
