"Pure k2cr2o7 G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,1.7921
201.00,1.7054
202.00,1.6284
203.00,1.5536
204.00,1.4881
205.00,1.4210
206.00,1.3597
207.00,1.2982
208.00,1.2411
209.00,1.1826
210.00,1.1296
211.00,1.0805
212.00,1.0298
213.00,0.9840
214.00,0.9410
215.00,0.8999
216.00,0.8617
217.00,0.8268
218.00,0.7958
219.00,0.7671
220.00,0.7410
221.00,0.7177
222.00,0.6963
223.00,0.6769
224.00,0.6597
225.00,0.6440
226.00,0.6296
227.00,0.6160
228.00,0.6042
229.00,0.5937
230.00,0.5843
231.00,0.5761
232.00,0.5688
233.00,0.5623
234.00,0.5568
235.00,0.5522
236.00,0.5484
237.00,0.5457
238.00,0.5436
239.00,0.5425
240.00,0.5422
241.00,0.5425
242.00,0.5432
243.00,0.5448
244.00,0.5466
245.00,0.5490
246.00,0.5517
247.00,0.5547
248.00,0.5577
249.00,0.5610
250.00,0.5639
251.00,0.5665
252.00,0.5688
253.00,0.5714
254.00,0.5728
255.00,0.5736
256.00,0.5737
257.00,0.5732
258.00,0.5720
259.00,0.5701
260.00,0.5675
261.00,0.5644
262.00,0.5603
263.00,0.5556
264.00,0.5503
265.00,0.5446
266.00,0.5384
267.00,0.5318
268.00,0.5251
269.00,0.5178
270.00,0.5108
271.00,0.5039
272.00,0.4965
273.00,0.4896
274.00,0.4824
275.00,0.4754
276.00,0.4683
277.00,0.4614
278.00,0.4546
279.00,0.4480
280.00,0.4415
281.00,0.4348
282.00,0.4279
283.00,0.4208
284.00,0.4138
285.00,0.4069
286.00,0.3997
287.00,0.3919
288.00,0.3841
289.00,0.3763
290.00,0.3680
291.00,0.3595
292.00,0.3512
293.00,0.3422
294.00,0.3334
295.00,0.3242
296.00,0.3142
297.00,0.3051
298.00,0.2962
299.00,0.2876
300.00,0.2788
301.00,0.2703
302.00,0.2624
303.00,0.2544
304.00,0.2481
305.00,0.2394
306.00,0.2330
307.00,0.2275
308.00,0.2224
309.00,0.2182
310.00,0.2151
311.00,0.2127
312.00,0.2109
313.00,0.2104
314.00,0.2103
315.00,0.2114
316.00,0.2134
317.00,0.2163
318.00,0.2198
319.00,0.2238
320.00,0.2282
321.00,0.2335
322.00,0.2400
323.00,0.2466
324.00,0.2537
325.00,0.2615
326.00,0.2693
327.00,0.2776
328.00,0.2855
329.00,0.2934
330.00,0.3016
331.00,0.3103
332.00,0.3189
333.00,0.3273
334.00,0.3345
335.00,0.3419
336.00,0.3485
337.00,0.3549
338.00,0.3599
339.00,0.3661
340.00,0.3721
341.00,0.3771
342.00,0.3816
343.00,0.3849
344.00,0.3877
345.00,0.3895
346.00,0.3903
347.00,0.3907
348.00,0.3910
349.00,0.3910
350.00,0.3916
351.00,0.3913
352.00,0.3897
353.00,0.3865
354.00,0.3827
355.00,0.3783
356.00,0.3729
357.00,0.3682
358.00,0.3630
359.00,0.3596
360.00,0.3508
361.00,0.3462
362.00,0.3409
363.00,0.3344
364.00,0.3268
365.00,0.3185
366.00,0.3102
367.00,0.3023
368.00,0.2950
369.00,0.2889
370.00,0.2839
371.00,0.2787
372.00,0.2731
373.00,0.2664
374.00,0.2598
375.00,0.2520
376.00,0.2428
377.00,0.2344
378.00,0.2256
379.00,0.2192
380.00,0.2126
381.00,0.2075
382.00,0.2017
383.00,0.1969
384.00,0.1910
385.00,0.1835
386.00,0.1773
387.00,0.1690
388.00,0.1614
389.00,0.1541
390.00,0.1474
391.00,0.1420
392.00,0.1364
393.00,0.1318
394.00,0.1281
395.00,0.1237
396.00,0.1194
397.00,0.1153
398.00,0.1112
399.00,0.1069
400.00,0.1032
401.00,0.0993
402.00,0.0957
403.00,0.0928
404.00,0.0900
405.00,0.0876
406.00,0.0858
407.00,0.0839
408.00,0.0827
409.00,0.0814
410.00,0.0805
411.00,0.0795
412.00,0.0785
413.00,0.0779
414.00,0.0775
415.00,0.0771
416.00,0.0766
417.00,0.0764
418.00,0.0761
419.00,0.0759
420.00,0.0759
421.00,0.0757
422.00,0.0757
423.00,0.0755
424.00,0.0755
425.00,0.0744
426.00,0.0744
427.00,0.0745
428.00,0.0745
429.00,0.0745
430.00,0.0745
431.00,0.0745
432.00,0.0745
433.00,0.0743
434.00,0.0743
435.00,0.0743
436.00,0.0742
437.00,0.0739
438.00,0.0740
439.00,0.0738
440.00,0.0735
441.00,0.0733
442.00,0.0733
443.00,0.0729
444.00,0.0725
445.00,0.0722
446.00,0.0718
447.00,0.0714
448.00,0.0712
449.00,0.0706
450.00,0.0701
451.00,0.0697
452.00,0.0690
453.00,0.0684
454.00,0.0676
455.00,0.0671
456.00,0.0665
457.00,0.0657
458.00,0.0650
459.00,0.0642
460.00,0.0635
461.00,0.0626
462.00,0.0619
463.00,0.0609
464.00,0.0602
465.00,0.0593
466.00,0.0584
467.00,0.0576
468.00,0.0567
469.00,0.0558
470.00,0.0549
471.00,0.0541
472.00,0.0532
473.00,0.0524
474.00,0.0514
475.00,0.0505
476.00,0.0496
477.00,0.0488
478.00,0.0478
479.00,0.0470
480.00,0.0460
481.00,0.0452
482.00,0.0444
483.00,0.0435
484.00,0.0426
485.00,0.0418
486.00,0.0410
487.00,0.0402
488.00,0.0394
489.00,0.0386
490.00,0.0378
491.00,0.0371
492.00,0.0363
493.00,0.0356
494.00,0.0350
495.00,0.0343
496.00,0.0336
497.00,0.0329
498.00,0.0323
499.00,0.0317
500.00,0.0311
501.00,0.0305
502.00,0.0299
503.00,0.0294
504.00,0.0288
505.00,0.0282
506.00,0.0277
507.00,0.0273
508.00,0.0267
509.00,0.0263
510.00,0.0259
511.00,0.0254
512.00,0.0250
513.00,0.0245
514.00,0.0242
515.00,0.0239
516.00,0.0236
517.00,0.0231
518.00,0.0228
519.00,0.0224
520.00,0.0222
521.00,0.0219
522.00,0.0216
523.00,0.0213
524.00,0.0211
525.00,0.0209
526.00,0.0205
527.00,0.0204
528.00,0.0202
529.00,0.0200
530.00,0.0198
531.00,0.0196
532.00,0.0195
533.00,0.0194
534.00,0.0191
535.00,0.0190
536.00,0.0189
537.00,0.0187
538.00,0.0186
539.00,0.0185
540.00,0.0184
541.00,0.0182
542.00,0.0181
543.00,0.0180
544.00,0.0179
545.00,0.0179
546.00,0.0177
547.00,0.0176
548.00,0.0176
549.00,0.0175
550.00,0.0175
551.00,0.0174
552.00,0.0173
553.00,0.0173
554.00,0.0172
555.00,0.0172
556.00,0.0171
557.00,0.0170
558.00,0.0169
559.00,0.0170
560.00,0.0169
561.00,0.0168
562.00,0.0168
563.00,0.0167
564.00,0.0166
565.00,0.0166
566.00,0.0165
567.00,0.0165
568.00,0.0165
569.00,0.0164
570.00,0.0164
571.00,0.0163
572.00,0.0163
573.00,0.0162
574.00,0.0162
575.00,0.0161
576.00,0.0162
577.00,0.0161
578.00,0.0161
579.00,0.0160
580.00,0.0160
581.00,0.0159
582.00,0.0159
583.00,0.0159
584.00,0.0158
585.00,0.0158
586.00,0.0158
587.00,0.0158
588.00,0.0157
589.00,0.0157
590.00,0.0156
591.00,0.0156
592.00,0.0155
593.00,0.0156
594.00,0.0155
595.00,0.0155
596.00,0.0154
597.00,0.0154
598.00,0.0154
599.00,0.0154
600.00,0.0157
601.00,0.0156
602.00,0.0156
603.00,0.0156
604.00,0.0156
605.00,0.0156
606.00,0.0155
607.00,0.0155
608.00,0.0155
609.00,0.0154
610.00,0.0154
611.00,0.0154
612.00,0.0154
613.00,0.0154
614.00,0.0153
615.00,0.0153
616.00,0.0151
617.00,0.0152
618.00,0.0151
619.00,0.0151
620.00,0.0152
621.00,0.0151
622.00,0.0150
623.00,0.0150
624.00,0.0150
625.00,0.0149
626.00,0.0149
627.00,0.0149
628.00,0.0149
629.00,0.0148
630.00,0.0148
631.00,0.0147
632.00,0.0147
633.00,0.0147
634.00,0.0147
635.00,0.0146
636.00,0.0146
637.00,0.0145
638.00,0.0145
639.00,0.0145
640.00,0.0146
641.00,0.0145
642.00,0.0144
643.00,0.0144
644.00,0.0144
645.00,0.0144
646.00,0.0144
647.00,0.0143
648.00,0.0143
649.00,0.0143
650.00,0.0142
651.00,0.0141
652.00,0.0141
653.00,0.0141
654.00,0.0141
655.00,0.0142
656.00,0.0140
657.00,0.0140
658.00,0.0139
659.00,0.0138
660.00,0.0138
661.00,0.0138
662.00,0.0139
663.00,0.0138
664.00,0.0139
665.00,0.0139
666.00,0.0139
667.00,0.0138
668.00,0.0138
669.00,0.0137
670.00,0.0138
671.00,0.0137
672.00,0.0138
673.00,0.0137
674.00,0.0137
675.00,0.0137
676.00,0.0137
677.00,0.0137
678.00,0.0137
679.00,0.0137
680.00,0.0136
681.00,0.0136
682.00,0.0136
683.00,0.0135
684.00,0.0135
685.00,0.0135
686.00,0.0135
687.00,0.0134
688.00,0.0134
689.00,0.0133
690.00,0.0133
691.00,0.0133
692.00,0.0133
693.00,0.0134
694.00,0.0133
695.00,0.0133
696.00,0.0132
697.00,0.0132
698.00,0.0132
699.00,0.0131
700.00,0.0131
