"pure kmno4 G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,4.0000
201.00,4.0000
202.00,4.0000
203.00,3.7178
204.00,3.1620
205.00,2.7566
206.00,2.4585
207.00,2.2176
208.00,2.0234
209.00,1.8723
210.00,1.7521
211.00,1.6579
212.00,1.5692
213.00,1.5054
214.00,1.4490
215.00,1.4032
216.00,1.3638
217.00,1.3307
218.00,1.3031
219.00,1.2789
220.00,1.2585
221.00,1.2401
222.00,1.2231
223.00,1.2080
224.00,1.1932
225.00,1.1789
226.00,1.1643
227.00,1.1493
228.00,1.1335
229.00,1.1173
230.00,1.1004
231.00,1.0831
232.00,1.0639
233.00,1.0439
234.00,1.0227
235.00,0.9999
236.00,0.9758
237.00,0.9505
238.00,0.9250
239.00,0.8984
240.00,0.8715
241.00,0.8434
242.00,0.8145
243.00,0.7851
244.00,0.7556
245.00,0.7260
246.00,0.6968
247.00,0.6671
248.00,0.6388
249.00,0.6112
250.00,0.5846
251.00,0.5591
252.00,0.5354
253.00,0.5119
254.00,0.4903
255.00,0.4686
256.00,0.4477
257.00,0.4285
258.00,0.4106
259.00,0.3940
260.00,0.3785
261.00,0.3642
262.00,0.3513
263.00,0.3394
264.00,0.3288
265.00,0.3199
266.00,0.3121
267.00,0.3065
268.00,0.3023
269.00,0.2995
270.00,0.2989
271.00,0.2998
272.00,0.3030
273.00,0.3080
274.00,0.3144
275.00,0.3226
276.00,0.3329
277.00,0.3459
278.00,0.3607
279.00,0.3771
280.00,0.3939
281.00,0.4124
282.00,0.4336
283.00,0.4583
284.00,0.4844
285.00,0.5108
286.00,0.5366
287.00,0.5638
288.00,0.5934
289.00,0.6260
290.00,0.6614
291.00,0.6928
292.00,0.7206
293.00,0.7482
294.00,0.7789
295.00,0.8130
296.00,0.8488
297.00,0.8793
298.00,0.9023
299.00,0.9209
300.00,0.9400
301.00,0.9651
302.00,0.9939
303.00,1.0219
304.00,1.0375
305.00,1.0454
306.00,1.0454
307.00,1.0491
308.00,1.0616
309.00,1.0794
310.00,1.0913
311.00,1.0919
312.00,1.0787
313.00,1.0611
314.00,1.0463
315.00,1.0412
316.00,1.0454
317.00,1.0517
318.00,1.0495
319.00,1.0347
320.00,1.0116
321.00,0.9872
322.00,0.9690
323.00,0.9608
324.00,0.9588
325.00,0.9573
326.00,0.9518
327.00,0.9353
328.00,0.9179
329.00,0.8976
330.00,0.8842
331.00,0.8768
332.00,0.8729
333.00,0.8698
334.00,0.8657
335.00,0.8601
336.00,0.8519
337.00,0.8431
338.00,0.8358
339.00,0.8289
340.00,0.8241
341.00,0.8206
342.00,0.8167
343.00,0.8139
344.00,0.8116
345.00,0.8092
346.00,0.8034
347.00,0.7984
348.00,0.7912
349.00,0.7855
350.00,0.7775
351.00,0.7697
352.00,0.7619
353.00,0.7530
354.00,0.7446
355.00,0.7340
356.00,0.7228
357.00,0.7100
358.00,0.6958
359.00,0.6841
360.00,0.6606
361.00,0.6474
362.00,0.6335
363.00,0.6195
364.00,0.6046
365.00,0.5888
366.00,0.5722
367.00,0.5557
368.00,0.5385
369.00,0.5221
370.00,0.5066
371.00,0.4910
372.00,0.4754
373.00,0.4602
374.00,0.4458
375.00,0.4321
376.00,0.4146
377.00,0.3975
378.00,0.3809
379.00,0.3658
380.00,0.3498
381.00,0.3352
382.00,0.3211
383.00,0.3070
384.00,0.2937
385.00,0.2801
386.00,0.2678
387.00,0.2543
388.00,0.2417
389.00,0.2297
390.00,0.2189
391.00,0.2080
392.00,0.1980
393.00,0.1881
394.00,0.1798
395.00,0.1708
396.00,0.1628
397.00,0.1551
398.00,0.1480
399.00,0.1413
400.00,0.1346
401.00,0.1289
402.00,0.1228
403.00,0.1177
404.00,0.1130
405.00,0.1087
406.00,0.1046
407.00,0.1008
408.00,0.0975
409.00,0.0950
410.00,0.0925
411.00,0.0901
412.00,0.0879
413.00,0.0862
414.00,0.0848
415.00,0.0835
416.00,0.0823
417.00,0.0817
418.00,0.0811
419.00,0.0805
420.00,0.0804
421.00,0.0804
422.00,0.0808
423.00,0.0808
424.00,0.0814
425.00,0.0811
426.00,0.0818
427.00,0.0823
428.00,0.0831
429.00,0.0838
430.00,0.0848
431.00,0.0862
432.00,0.0875
433.00,0.0892
434.00,0.0912
435.00,0.0936
436.00,0.0962
437.00,0.0988
438.00,0.1018
439.00,0.1044
440.00,0.1069
441.00,0.1094
442.00,0.1123
443.00,0.1150
444.00,0.1180
445.00,0.1216
446.00,0.1258
447.00,0.1308
448.00,0.1363
449.00,0.1426
450.00,0.1493
451.00,0.1563
452.00,0.1631
453.00,0.1698
454.00,0.1759
455.00,0.1820
456.00,0.1875
457.00,0.1931
458.00,0.1986
459.00,0.2048
460.00,0.2120
461.00,0.2205
462.00,0.2308
463.00,0.2424
464.00,0.2558
465.00,0.2699
466.00,0.2851
467.00,0.3004
468.00,0.3148
469.00,0.3281
470.00,0.3399
471.00,0.3502
472.00,0.3590
473.00,0.3672
474.00,0.3752
475.00,0.3846
476.00,0.3958
477.00,0.4099
478.00,0.4268
479.00,0.4470
480.00,0.4701
481.00,0.4959
482.00,0.5231
483.00,0.5504
484.00,0.5776
485.00,0.6024
486.00,0.6234
487.00,0.6413
488.00,0.6548
489.00,0.6647
490.00,0.6718
491.00,0.6779
492.00,0.6848
493.00,0.6942
494.00,0.7080
495.00,0.7267
496.00,0.7516
497.00,0.7822
498.00,0.8174
499.00,0.8557
500.00,0.8946
501.00,0.9359
502.00,0.9750
503.00,1.0104
504.00,1.0399
505.00,1.0616
506.00,1.0744
507.00,1.0796
508.00,1.0774
509.00,1.0713
510.00,1.0626
511.00,1.0558
512.00,1.0527
513.00,1.0558
514.00,1.0667
515.00,1.0861
516.00,1.1138
517.00,1.1484
518.00,1.1889
519.00,1.2323
520.00,1.2778
521.00,1.3209
522.00,1.3608
523.00,1.3926
524.00,1.4147
525.00,1.4246
526.00,1.4235
527.00,1.4092
528.00,1.3858
529.00,1.3539
530.00,1.3177
531.00,1.2803
532.00,1.2472
533.00,1.2189
534.00,1.1994
535.00,1.1896
536.00,1.1901
537.00,1.1987
538.00,1.2157
539.00,1.2389
540.00,1.2657
541.00,1.2926
542.00,1.3205
543.00,1.3456
544.00,1.3634
545.00,1.3737
546.00,1.3732
547.00,1.3606
548.00,1.3363
549.00,1.2992
550.00,1.2522
551.00,1.1976
552.00,1.1385
553.00,1.0785
554.00,1.0200
555.00,0.9664
556.00,0.9214
557.00,0.8803
558.00,0.8481
559.00,0.8237
560.00,0.8063
561.00,0.7953
562.00,0.7896
563.00,0.7871
564.00,0.7872
565.00,0.7881
566.00,0.7886
567.00,0.7869
568.00,0.7821
569.00,0.7729
570.00,0.7584
571.00,0.7378
572.00,0.7118
573.00,0.6817
574.00,0.6457
575.00,0.6053
576.00,0.5635
577.00,0.5198
578.00,0.4776
579.00,0.4368
580.00,0.3986
581.00,0.3632
582.00,0.3319
583.00,0.3037
584.00,0.2795
585.00,0.2583
586.00,0.2405
587.00,0.2255
588.00,0.2128
589.00,0.2021
590.00,0.1937
591.00,0.1861
592.00,0.1799
593.00,0.1748
594.00,0.1703
595.00,0.1667
596.00,0.1634
597.00,0.1604
598.00,0.1580
599.00,0.1556
600.00,0.1534
601.00,0.1513
602.00,0.1493
603.00,0.1472
604.00,0.1453
605.00,0.1434
606.00,0.1415
607.00,0.1396
608.00,0.1379
609.00,0.1361
610.00,0.1345
611.00,0.1331
612.00,0.1317
613.00,0.1304
614.00,0.1292
615.00,0.1281
616.00,0.1269
617.00,0.1260
618.00,0.1250
619.00,0.1241
620.00,0.1233
621.00,0.1225
622.00,0.1214
623.00,0.1208
624.00,0.1199
625.00,0.1190
626.00,0.1183
627.00,0.1174
628.00,0.1166
629.00,0.1158
630.00,0.1150
631.00,0.1141
632.00,0.1133
633.00,0.1124
634.00,0.1115
635.00,0.1106
636.00,0.1097
637.00,0.1087
638.00,0.1078
639.00,0.1069
640.00,0.1060
641.00,0.1050
642.00,0.1039
643.00,0.1029
644.00,0.1018
645.00,0.1008
646.00,0.0997
647.00,0.0986
648.00,0.0974
649.00,0.0963
650.00,0.0951
651.00,0.0939
652.00,0.0927
653.00,0.0916
654.00,0.0905
655.00,0.0893
656.00,0.0880
657.00,0.0869
658.00,0.0856
659.00,0.0844
660.00,0.0831
661.00,0.0820
662.00,0.0808
663.00,0.0797
664.00,0.0786
665.00,0.0775
666.00,0.0763
667.00,0.0751
668.00,0.0739
669.00,0.0728
670.00,0.0716
671.00,0.0705
672.00,0.0694
673.00,0.0683
674.00,0.0671
675.00,0.0661
676.00,0.0652
677.00,0.0640
678.00,0.0629
679.00,0.0618
680.00,0.0607
681.00,0.0596
682.00,0.0585
683.00,0.0574
684.00,0.0564
685.00,0.0553
686.00,0.0542
687.00,0.0532
688.00,0.0521
689.00,0.0511
690.00,0.0500
691.00,0.0490
692.00,0.0481
693.00,0.0472
694.00,0.0463
695.00,0.0454
696.00,0.0444
697.00,0.0436
698.00,0.0427
699.00,0.0418
700.00,0.0410
